payment_id,loan_id,payment_amount,payment_date
PMT0000001,LON0002230,8917.28,2024-12-21
PMT0000002,LON0000861,2586.57,2022-02-13
PMT0000003,LON0000699,4297.3,2019-05-28
PMT0000004,LON0000835,1213.53,2024-11-16
PMT0000005,LON0001502,9647.3,2020-01-22
PMT0000006,LON0001543,3756.14,2020-11-22
PMT0000007,LON0001785,8739.18,2020-03-18
PMT0000008,LON0001463,1774.76,2019-09-11
PMT0000009,LON0002786,9283.53,2019-02-10
PMT0000010,LON0002964,8403.11,2019-12-10
PMT0000011,LON0001711,4945.03,2021-09-14
PMT0000012,LON0000696,8364.87,2020-10-07
PMT0000013,LON0000720,4345.5,2021-05-25
PMT0000014,LON0001424,7641.18,2021-03-07
PMT0000015,LON0002707,9742.84,2019-01-13
PMT0000016,LON0002365,2342.74,2021-12-23
PMT0000017,LON0001008,4294.83,2021-11-18
PMT0000018,LON0000176,7128.08,2019-07-06
PMT0000019,LON0002050,5794.2,2019-06-10
PMT0000020,LON0000462,4288.91,2023-05-27
PMT0000021,LON0001129,1364.41,2024-04-26
PMT0000022,LON0002091,4663.26,2023-01-02
PMT0000023,LON0002389,8702.85,2024-12-20
PMT0000024,LON0000091,6245.24,2022-01-17
PMT0000025,LON0001271,8638.53,2021-01-05
PMT0000026,LON0002716,6256.75,2021-11-28
PMT0000027,LON0002841,7033.86,2019-03-16
PMT0000028,LON0001155,9353.02,2024-02-02
PMT0000029,LON0000567,9137.69,2022-03-13
PMT0000030,LON0001563,8873.01,2019-06-28
PMT0000031,LON0002633,5904.15,2021-06-07
PMT0000032,LON0002447,9329.91,2020-02-09
PMT0000033,LON0002200,9916.57,2019-05-30
PMT0000034,LON0002627,432.81,2018-04-21
PMT0000035,LON0000426,6303.57,2022-07-24
PMT0000036,LON0002149,4839.98,2019-01-24
PMT0000037,LON0002921,8116.58,2019-11-22
PMT0000038,LON0000060,7611.41,2019-03-06
PMT0000039,LON0001871,1841.31,2024-12-31
PMT0000040,LON0002280,8775.38,2018-09-17
PMT0000041,LON0002071,9471.69,2022-04-05
PMT0000042,LON0000859,3996.87,2018-12-10
PMT0000043,LON0002946,5770.76,2018-07-06
PMT0000044,LON0000146,8733.43,2023-12-27
PMT0000045,LON0002936,8561.29,2024-12-30
PMT0000046,LON0000470,4295.06,2018-08-25
PMT0000047,LON0000318,2615.82,2022-12-17
PMT0000048,LON0000832,1985.58,2020-11-06
PMT0000049,LON0002052,2318.6,2023-07-07
PMT0000050,LON0000126,8352.23,2020-06-21
PMT0000051,LON0002973,1586.76,2018-12-26
PMT0000052,LON0000235,3008.36,2020-07-09
PMT0000053,LON0001938,4597.99,2019-02-20
PMT0000054,LON0002745,9514.59,2022-04-28
PMT0000055,LON0000309,5676.4,2018-08-17
PMT0000056,LON0001086,3640.25,2018-12-19
PMT0000057,LON0000593,2833.23,2021-05-30
PMT0000058,LON0000889,5559.05,2024-08-19
PMT0000059,LON0001586,4259.18,2022-12-04
PMT0000060,LON0002402,3249.59,2020-06-13
PMT0000061,LON0002265,1077.6,2022-06-25
PMT0000062,LON0002290,7996.76,2020-10-07
PMT0000063,LON0000673,318.86,2022-10-08
PMT0000064,LON0000295,9575.84,2018-06-26
PMT0000065,LON0001014,1410.85,2023-07-22
PMT0000066,LON0000010,6701.58,2023-06-14
PMT0000067,LON0001384,9674.84,2020-04-05
PMT0000068,LON0000143,4608.42,2018-04-19
PMT0000069,LON0002882,251.26,2019-04-30
PMT0000070,LON0002967,3952.0,2022-04-05
PMT0000071,LON0002671,4706.51,2021-08-11
PMT0000072,LON0002268,7973.37,2020-05-24
PMT0000073,LON0002239,3411.69,2021-10-26
PMT0000074,LON0001130,2372.91,2018-10-10
PMT0000075,LON0000469,7995.11,2019-04-13
PMT0000076,LON0000820,6662.38,2023-08-22
PMT0000077,LON0002727,2789.45,2021-04-20
PMT0000078,LON0002493,3980.61,2021-03-26
PMT0000079,LON0000141,3982.01,2024-09-03
PMT0000080,LON0001733,5502.01,2021-03-18
PMT0000081,LON0001454,9547.06,2022-01-01
PMT0000082,LON0002058,5778.37,2019-02-12
PMT0000083,LON0002440,6392.53,2019-09-13
PMT0000084,LON0000224,8736.57,2020-11-28
PMT0000085,LON0000135,1057.94,2018-02-08
PMT0000086,LON0002626,1882.65,2018-09-10
PMT0000087,LON0001509,9422.27,2021-07-10
PMT0000088,LON0002274,4575.55,2024-02-19
PMT0000089,LON0000897,7205.67,2019-03-07
PMT0000090,LON0002816,9443.81,2020-10-15
PMT0000091,LON0000178,5711.79,2022-06-25
PMT0000092,LON0002574,105.77,2021-09-22
PMT0000093,LON0001533,504.55,2022-12-28
PMT0000094,LON0002432,8383.4,2022-08-14
PMT0000095,LON0002068,9828.9,2024-10-17
PMT0000096,LON0002895,4190.15,2018-04-09
PMT0000097,LON0002739,6452.26,2019-01-25
PMT0000098,LON0001126,8447.33,2024-12-10
PMT0000099,LON0001793,1170.7,2023-01-09
PMT0000100,LON0001329,4803.52,2021-07-11
PMT0000101,LON0000309,8178.4,2021-10-08
PMT0000102,LON0002272,5680.52,2023-02-03
PMT0000103,LON0002071,7946.36,2021-04-11
PMT0000104,LON0002162,5221.33,2018-11-17
PMT0000105,LON0002513,4948.45,2021-09-14
PMT0000106,LON0001922,719.05,2020-05-29
PMT0000107,LON0001750,9339.2,2018-12-31
PMT0000108,LON0001572,6475.07,2018-02-27
PMT0000109,LON0001357,1111.71,2022-01-23
PMT0000110,LON0002819,3525.03,2020-05-13
PMT0000111,LON0001734,8136.56,2023-08-13
PMT0000112,LON0000409,7927.51,2018-06-09
PMT0000113,LON0001049,7043.65,2021-01-08
PMT0000114,LON0000948,5682.4,2019-07-27
PMT0000115,LON0000508,7503.46,2022-08-13
PMT0000116,LON0000721,4922.09,2019-11-24
PMT0000117,LON0001663,821.93,2020-10-09
PMT0000118,LON0001686,7578.41,2022-10-27
PMT0000119,LON0002841,5277.25,2024-04-06
PMT0000120,LON0001097,9790.02,2023-05-30
PMT0000121,LON0002721,9182.16,2024-05-12
PMT0000122,LON0002544,6919.49,2022-11-23
PMT0000123,LON0002008,8430.44,2020-11-07
PMT0000124,LON0002256,5397.25,2022-06-14
PMT0000125,LON0001786,710.79,2024-07-23
PMT0000126,LON0001139,9908.94,2023-10-17
PMT0000127,LON0002052,6897.49,2021-01-03
PMT0000128,LON0001338,2739.87,2018-08-01
PMT0000129,LON0000629,245.0,2020-03-06
PMT0000130,LON0000291,9649.65,2018-12-01
PMT0000131,LON0001579,6385.92,2024-01-30
PMT0000132,LON0002913,5173.01,2020-11-17
PMT0000133,LON0000040,2087.46,2021-06-06
PMT0000134,LON0002495,9780.03,2024-10-31
PMT0000135,LON0000779,3248.76,2020-11-20
PMT0000136,LON0000193,5195.78,2021-08-19
PMT0000137,LON0002567,1288.01,2018-12-18
PMT0000138,LON0002155,6158.39,2019-12-14
PMT0000139,LON0001792,7593.18,2023-05-08
PMT0000140,LON0000390,9973.81,2018-01-02
PMT0000141,LON0002351,2370.96,2021-09-25
PMT0000142,LON0002539,7885.99,2021-10-30
PMT0000143,LON0001051,681.36,2023-06-02
PMT0000144,LON0001844,8379.45,2019-11-10
PMT0000145,LON0001343,3041.52,2021-09-09
PMT0000146,LON0000136,8941.88,2020-11-27
PMT0000147,LON0002795,600.81,2024-08-23
PMT0000148,LON0001526,9823.54,2020-02-29
PMT0000149,LON0002273,8909.77,2022-09-25
PMT0000150,LON0002986,1133.0,2022-09-04
PMT0000151,LON0001613,769.83,2020-03-13
PMT0000152,LON0001601,7406.25,2024-04-13
PMT0000153,LON0002684,2684.88,2018-12-21
PMT0000154,LON0000192,8367.76,2020-12-19
PMT0000155,LON0002724,9244.31,2018-09-26
PMT0000156,LON0000551,9356.71,2020-10-05
PMT0000157,LON0002308,1530.66,2022-02-22
PMT0000158,LON0000453,3881.11,2024-12-01
PMT0000159,LON0002880,8540.88,2024-11-02
PMT0000160,LON0002372,6775.03,2021-03-20
PMT0000161,LON0002833,7156.63,2023-07-17
PMT0000162,LON0001636,3191.56,2021-02-15
PMT0000163,LON0002086,4449.92,2018-08-18
PMT0000164,LON0002763,5149.3,2022-03-07
PMT0000165,LON0002352,6232.32,2019-04-10
PMT0000166,LON0001506,851.21,2018-06-09
PMT0000167,LON0000222,4317.32,2020-07-07
PMT0000168,LON0001396,7281.76,2019-05-14
PMT0000169,LON0002707,7386.87,2018-10-17
PMT0000170,LON0001684,4414.24,2020-12-23
PMT0000171,LON0002499,3028.77,2018-07-25
PMT0000172,LON0002703,317.74,2020-04-30
PMT0000173,LON0002289,6966.07,2021-10-06
PMT0000174,LON0001255,5723.71,2019-12-23
PMT0000175,LON0001165,4410.19,2019-09-22
PMT0000176,LON0002856,3930.28,2020-05-10
PMT0000177,LON0001860,8415.92,2024-10-12
PMT0000178,LON0001113,6571.39,2019-05-12
PMT0000179,LON0001381,6365.08,2021-05-11
PMT0000180,LON0002383,9012.17,2019-03-13
PMT0000181,LON0001249,5712.25,2022-01-13
PMT0000182,LON0001249,9379.85,2021-10-25
PMT0000183,LON0000481,5159.68,2024-11-26
PMT0000184,LON0000675,455.0,2022-03-31
PMT0000185,LON0000660,4479.22,2023-08-05
PMT0000186,LON0001056,6165.8,2021-09-14
PMT0000187,LON0001971,5132.04,2018-08-10
PMT0000188,LON0002871,7682.71,2018-04-20
PMT0000189,LON0000587,2222.18,2023-08-27
PMT0000190,LON0000146,9491.68,2020-03-25
PMT0000191,LON0002203,470.03,2020-08-16
PMT0000192,LON0002365,4026.4,2023-02-12
PMT0000193,LON0002844,2168.15,2023-06-17
PMT0000194,LON0000747,2397.78,2023-01-06
PMT0000195,LON0001506,1559.34,2018-06-21
PMT0000196,LON0002542,5486.93,2024-10-13
PMT0000197,LON0002834,2257.87,2024-07-22
PMT0000198,LON0001693,4313.55,2022-03-23
PMT0000199,LON0000331,1888.68,2022-06-07
PMT0000200,LON0002572,2647.87,2020-02-10
PMT0000201,LON0001966,3685.73,2019-06-28
PMT0000202,LON0000907,5685.37,2020-06-10
PMT0000203,LON0001354,9217.04,2020-07-28
PMT0000204,LON0002583,327.34,2019-12-12
PMT0000205,LON0001209,9994.95,2019-04-05
PMT0000206,LON0001710,4187.24,2021-07-21
PMT0000207,LON0001640,8826.81,2020-09-23
PMT0000208,LON0001748,3361.96,2024-08-12
PMT0000209,LON0002139,4844.62,2023-03-09
PMT0000210,LON0001830,3959.45,2022-11-13
PMT0000211,LON0001795,2398.59,2024-06-19
PMT0000212,LON0001572,9408.18,2021-02-19
PMT0000213,LON0002849,6375.74,2020-02-09
PMT0000214,LON0000101,7338.66,2020-08-25
PMT0000215,LON0000362,7303.54,2024-02-07
PMT0000216,LON0001001,7657.87,2023-01-17
PMT0000217,LON0000296,5500.38,2023-01-07
PMT0000218,LON0001741,6318.55,2021-01-07
PMT0000219,LON0000104,2459.67,2019-02-21
PMT0000220,LON0001318,6470.66,2020-03-12
PMT0000221,LON0000183,5843.24,2024-08-02
PMT0000222,LON0001512,3189.14,2024-08-26
PMT0000223,LON0001083,9979.23,2021-09-16
PMT0000224,LON0001682,168.49,2024-11-19
PMT0000225,LON0000425,2946.82,2022-02-12
PMT0000226,LON0002239,1098.26,2023-10-23
PMT0000227,LON0000855,3729.93,2019-05-31
PMT0000228,LON0001586,1397.1,2023-08-30
PMT0000229,LON0000021,1727.14,2023-01-12
PMT0000230,LON0002011,1984.95,2021-04-19
PMT0000231,LON0002196,7217.99,2018-06-05
PMT0000232,LON0001783,4055.92,2021-07-22
PMT0000233,LON0002462,9636.69,2020-06-06
PMT0000234,LON0001841,8429.5,2018-07-02
PMT0000235,LON0001903,8804.1,2022-09-19
PMT0000236,LON0002982,4795.18,2018-10-06
PMT0000237,LON0000378,9674.85,2024-02-29
PMT0000238,LON0000333,3495.28,2018-07-12
PMT0000239,LON0002539,9150.23,2023-10-05
PMT0000240,LON0002840,3688.62,2024-10-14
PMT0000241,LON0000365,7856.28,2019-10-07
PMT0000242,LON0001106,2752.0,2019-03-22
PMT0000243,LON0002421,4077.41,2023-10-07
PMT0000244,LON0000421,2425.52,2019-03-13
PMT0000245,LON0001559,6925.43,2023-08-01
PMT0000246,LON0002756,5570.69,2024-04-06
PMT0000247,LON0000257,8653.98,2023-05-18
PMT0000248,LON0001695,3774.1,2019-06-27
PMT0000249,LON0000995,8241.93,2021-11-11
PMT0000250,LON0001731,2321.42,2024-12-07
PMT0000251,LON0001060,7104.67,2018-08-20
PMT0000252,LON0000298,9090.12,2024-06-22
PMT0000253,LON0002142,5675.74,2023-02-17
PMT0000254,LON0002758,7829.15,2019-06-01
PMT0000255,LON0002106,7437.59,2024-03-20
PMT0000256,LON0001299,6598.5,2024-05-31
PMT0000257,LON0000578,5852.72,2019-04-15
PMT0000258,LON0001415,660.65,2024-07-24
PMT0000259,LON0002674,2219.13,2023-05-02
PMT0000260,LON0001598,8158.1,2021-07-26
PMT0000261,LON0002284,1923.95,2019-10-17
PMT0000262,LON0001784,9197.81,2020-02-06
PMT0000263,LON0002990,4164.11,2022-09-18
PMT0000264,LON0002385,9712.2,2020-07-11
PMT0000265,LON0001965,2250.72,2024-04-17
PMT0000266,LON0000733,7270.05,2022-07-09
PMT0000267,LON0000948,8500.22,2018-04-19
PMT0000268,LON0001316,8851.12,2022-11-12
