loan_id,customer_id,loan_type,loan_amount,interest_rate,status
LON0000001,CUST0002154,Business,336449.34,3.32,Active
LON0000002,CUST0001432,Auto,302622.62,8.3,Active
LON0000003,CUST0000604,Personal,419231.27,2.57,Closed
LON0000004,CUST0002523,Mortgage,417798.52,8.98,Active
LON0000005,CUST0002454,Personal,149002.29,15.21,Active
LON0000006,CUST0002788,Mortgage,361610.2,7.62,Closed
LON0000007,CUST0001188,Mortgage,307454.82,17.84,Active
LON0000008,CUST0000656,Business,437936.55,2.49,Active
LON0000009,CUST0002788,Mortgage,122244.44,3.27,Closed
LON0000010,CUST0002312,Auto,18592.79,8.65,Closed
LON0000011,CUST0000232,Business,474152.9,19.09,Active
LON0000012,CUST0001507,Business,440620.5,11.65,Closed
LON0000013,CUST0002481,Mortgage,243784.5,2.58,Default
LON0000014,CUST0001881,Mortgage,424322.2,18.65,Default
LON0000015,CUST0001291,Personal,144954.6,19.46,Active
LON0000016,CUST0000355,Mortgage,42670.89,9.19,Closed
LON0000017,CUST0000652,Auto,323658.4,10.67,Active
LON0000018,CUST0001654,Business,318645.53,10.0,Active
LON0000019,CUST0002972,Business,42769.39,18.18,Active
LON0000020,CUST0001914,Personal,242984.19,17.42,Active
LON0000021,CUST0001086,Auto,475878.57,7.24,Active
LON0000022,CUST0000134,Personal,402787.75,10.47,Closed
LON0000023,CUST0002279,Auto,13219.95,5.01,Default
LON0000024,CUST0001583,Mortgage,108745.01,17.62,Active
LON0000025,CUST0001835,Personal,254133.92,2.95,Active
LON0000026,CUST0000472,Personal,306854.74,12.08,Active
LON0000027,CUST0000001,Business,147203.61,11.15,Active
LON0000028,CUST0001966,Auto,206673.79,12.62,Active
LON0000029,CUST0002867,Mortgage,61859.28,2.13,Active
LON0000030,CUST0000725,Mortgage,72042.44,9.04,Active
LON0000031,CUST0001877,Personal,348093.87,13.96,Closed
LON0000032,CUST0002619,Business,305088.3,5.26,Active
LON0000033,CUST0002420,Personal,237838.79,6.83,Active
LON0000034,CUST0000321,Mortgage,84899.34,2.54,Active
LON0000035,CUST0002265,Business,395432.88,18.9,Active
LON0000036,CUST0001770,Business,495304.17,19.27,Active
LON0000037,CUST0001620,Mortgage,401610.91,8.05,Active
LON0000038,CUST0001325,Personal,354841.15,11.78,Default
LON0000039,CUST0000785,Personal,291412.81,5.3,Closed
LON0000040,CUST0000748,Mortgage,464156.04,2.0,Active
LON0000041,CUST0002383,Auto,138656.85,12.9,Active
LON0000042,CUST0002622,Business,148066.58,2.01,Closed
LON0000043,CUST0000154,Business,229847.96,7.27,Closed
